,id,dp.pt,dp.pp,dp.l,ar.pt,ar.l,ar.wings,dp.wings
13,-9116698326539690996-2303141136-1,2303141136,8,,,,,
14,-1494893474156392079-2303141032-10,,,,2303141121,RB31,,
15,-5486357965950019401-2303141038-5,,,,2303141125,80,,
16,886782899794647271-2303140654-10,,,,2303141115,,,
0,-8871309560348826109-2303140632-9,,,,2303141239,,,
1,3450532721221209704-2303140542-11,,,,2303141239,,-8871309560348826109-2303140632,
2,6417938898275280198-2303141234-1,2303141234,6A-C,80,,,,
3,1526194876276388981-2303141101-7,,,,2303141204,RE3,,
4,-1983684305322628808-2303141221-1,2303141221,7A-D,1,,,,
5,-838610705040491073-2303141215-1,2303141215,14,RE4,,,,
6,8082687733656221962-2303141138-5,,,,2303141225,80,,
7,-5648679412789862007-2303141224-1,2303141224,12,,,,,
8,-1618433914809757000-2303140725-7,,,,2303141236,,,
9,63634424795789903-2303141133-6,,,,2303141243,RE4,,
10,-1326017191040114353-2303141233-1,2303141233,11A-C,RB31,,,,
11,-7765232958931757926-2303141203-1,2303141203,8,,,,,
12,773894095660152087-2303141247-1,2303141247,11,,,,,
13,2662972692212507122-2303140457-11,,,,2303141221,,,
14,7034103632532251689-2303141245-1,2303141245,12,,,,,
15,461842432856454146-2303141058-15,,,,2303141226,RB41,,
16,1404410154918675686-2303141206-9,,,,2303141250,81,,
17,3659451569801342679-2303141132-10,,,,2303141219,RB31,,
18,2492357795736612436-2303141210-4,,,,2303141253,8,,
19,7754585586089657005-2303141211-1,2303141211,6D-E,81,,,,
20,-1721771494675524237-2303141257-1,2303141257,14,RE3,,,,
21,-8624992757107064587-2303140332-17,,,,2303141214,,,
22,215203964630381690-2303141206-1,2303141206,6A-C,8,,,,
23,3346220919557533312-2303140726-10,,,,2303141211,,,
24,4607035346931723522-2303141237-1,2303141237,11D-F,RB41,,,,
25,5225340137258686286-2303141216-1,2303141216,11,,,,,
0,2156258708694514019-2303141232-10,,,,2303141321,RB31,,
1,-2600806661377466654-2303141238-5,,,,2303141325,80,,
2,-8909059200116756821-2303141108-19,,,,2303141338,1,,
3,-2289591885774835907-2303140455-18,,,,2303141314,,,
4,-1714972804302950802-2303140637-11,,,,2303141311,,,
5,8208197247715425541-2303141324-1,2303141324,14,,,,,
6,1368141755022019604-2303141233-6,,,,2303141346,RE4,,
7,-4102711972533821453-2303141357-1,2303141357,13,RE3,,,,
8,3730194782886715569-2303141306-9,,,,2303141350,81,,
9,3451732912517194615-2303141311-1,2303141311,6D-E,81,,,,
10,-6456003151577146467-2303141315-1,2303141315,12A-B,RE4,,,,
11,-2582688816215853638-2303141310-4,,,,2303141353,8,,
12,-1525311052779788358-2303141337-1,2303141337,12C-F,RB41,,,,
13,1760950469303232552-2303141158-15,,,,2303141326,RB41,,
14,-8907723336165031898-2303141336-1,2303141336,8A-F,,,,,
15,7548621267811080490-2303141306-1,2303141306,6A-C,8,,,,
16,-7172464133829905329-2303141333-1,2303141333,12A-B,RB31,,,,
17,7736550546307083827-2303141345-1,2303141345,14,,,,,
18,1170763571226731300-2303141201-7,,,,2303141303,RE3,,
19,3948672066256732408-2303141334-1,2303141334,7A-D,80,,,,
20,-5894767788106580379-2303140644-11,,,,2303141324,,,
21,-8160985285898732989-2303140559-12,,,,2303141336,,,
0,-6894291809366404267-2303141415-1,2303141415,13A-C,RE4,,,,
1,6606937437181211182-2303141410-4,,,,2303141452,8,,
2,-691048836761689376-2303141332-10,,,,2303141421,RB31,,
3,4945210207890864936-2303141424-1,2303141424,12,,,,,
4,7249250590839271985-2303141421-1,2303141421,7A-D,1,,,,
5,3289590894641015028-2303141258-15,,,,2303141426,RB41,,
6,-4242079050945637182-2303141421-1,2303141421,8,,,,,
7,67517114520381301-2303140533-16,,,,2303141414,,,
8,-1429225085830587754-2303141435-1,2303141435,8,,,,,
9,-3719432907753291231-2303141433-1,2303141433,13A-C,RB31,,,,
10,3166360147207852987-2303141446-1,2303141446,6D-E,,,,,
11,-9020387200604849828-2303141406-9,,,,2303141449,81,,
12,5998728119233124715-2303141338-5,,,,2303141425,80,,
13,-5169275358282017673-2303141032-7,,,,2303141422,,,
14,667953891615761969-2303141457-1,2303141457,13,RE3,,,,
15,-7464145250026418942-2303141333-6,,,,2303141443,RE4,,
16,-4314726420347126193-2303141437-1,2303141437,13D-F,RB41,,,,
17,6964610014971222003-2303141406-1,2303141406,5A-C,8,,,,
18,-5628662980181953410-2303141411-1,2303141411,5D-E,81,,,,
19,-6012005053401607387-2303140923-7,,,,2303141436,,,
20,6528201317613849636-2303140939-18,,,,2303141408,,,
21,-5490735582504345855-2303141434-1,2303141434,7A-D,80,,,,
22,-5345756847556552176-2303141301-7,,,,2303141403,RE3,,
0,5003217881197201430-2303141506-1,2303141506,6A-C,8,,,,
1,5500172559625540133-2303141524-1,2303141524,13,,,,,
2,-2613730664193740411-2303141557-1,2303141557,14,RE3,,,,
3,6680342960452230153-2303141432-10,,,,2303141521,RB31,,
4,7839939373967476089-2303141433-6,,,,2303141543,RE4,,
5,5781797999410176100-2303140511-18,,,,2303141551,,,
6,-1810961569118299205-2303140759-12,,,,2303141536,,,
7,7376806817800799134-2303141511-1,2303141511,5,81,,,,
8,-5870959805882886031-2303141521-1,2303141521,11,1,,,,
9,8638472173130681902-2303141534-1,2303141534,7A-D,80,,,,
10,-949453439648574097-2303141515-1,2303141515,14,RE4,,,,
11,-7676591997781413630-2303141308-19,,,,2303141538,1,,
12,-5599998702057193678-2303141401-7,,,,2303141503,RE3,,
13,-8455037015374655075-2303141438-5,,,,2303141525,80,,
14,-258190736644100419-2303140836-13,,,,2303141541,,,
15,-7033045110854920488-2303141545-1,2303141545,11,,,,,
16,5164820353604050422-2303141510-4,,,,2303141553,8,,
17,-7053557267756658428-2303141537-1,2303141537,14D-F,RB41,,,,
18,2228017092216421635-2303141506-9,,,,2303141550,81,,
19,7654086924896758852-2303141358-15,,,,2303141526,RB41,,
20,-2434431353590476722-2303141536-1,2303141536,8,,,,,
21,-741191746688532803-2303141533-1,2303141533,14A-C,RB31,,,,
22,-2916335149561510455-2303140711-18,,,,2303141514,,,
0,3651312429871973009-2303141610-4,,,,2303141653,8,,
1,-4069291697784823093-2303141607-9,,,,2303141650,81,,
2,6407795434365923900-2303141455-16,,,,2303141638,1,,
3,8067368109279083011-2303141637-1,2303141637,14D-F,RB41,,,,
4,-7707435225325134944-2303141645-1,2303141645,12,,,,,
5,2954227574907545436-2303141621-1,2303141621,7A-D,1,,,,
6,7219339044611281291-2303141633-1,2303141633,14A-C,RB31,,,,
7,-4676688213845465911-2303141651-1,2303141651,8,,,,,
8,-2924048263536998052-2303141623-1,2303141623,12,,,,,-5727338827314271911-2303141623
9,1217412450643884013-2303141538-5,,,,2303141625,80,,
10,-5727338827314271911-2303141623-1,2303141623,12,,,,,
11,1454071564218104617-2303141126-10,,,,2303141615,,,
12,5593758711446535859-2303141532-10,,,,2303141620,RB31,,
13,-7184453857839759572-2303140728-16,,,,2303141614,,,
14,3657993984016871147-2303140935-11,,,,2303141621,,,
15,-3791061785274282598-2303141533-6,,,,2303141643,RE4,,
16,-8193182913825970815-2303141651-1,2303141651,11,,,,,
17,5983993940856617599-2303141611-1,2303141611,6D-E,81,,,,
18,-9054066435275015678-2303141501-7,,,,2303141603,RE3,,
19,-2843829057041584062-2303141123-7,,,,2303141636,,,
20,5684021401707670638-2303141403-3,,,,2303141600,,,
21,-1985172267818386333-2303141634-1,2303141634,7A-D,80,,,,
22,758859835085650931-2303141657-1,2303141657,14,RE3,,,,
23,3046077902404772122-2303141458-15,,,,2303141626,RB41,,
24,-2968437926361446640-2303141615-1,2303141615,14,RE4,,,,
25,9122331714189316075-2303141606-1,2303141606,6A-C,8,,,,
0,-7953571156990560915-2303141706-9,,,,2303141750,81,,
1,-3299524636306046636-2303141757-1,2303141757,13,RE3,,,,
2,7394318309112910540-2303141638-5,,,,2303141725,80,,
3,-6336494628197608513-2303141706-1,2303141706,6A-C,8,,,,
4,-7958939615159027987-2303140717-18,,,,2303141753,,,
5,5294570055348083618-2303141508-19,,,,2303141738,1,,
6,-3779834972062061380-2303141733-1,2303141733,13A-C,RB31,,,,
7,321154048723545668-2303141724-1,2303141724,14,,,,,
8,-694138041328108466-2303141710-4,,,,2303141756,8,,
9,3692109744041502627-2303141558-15,,,,2303141726,RB41,,
10,-5981141401498695982-2303141042-14,,,,2303141738,,,
11,-2963728539643316623-2303141632-10,,,,2303141721,RB31,,
12,4872555672288923535-2303141745-1,2303141745,14,,,,,
13,1361852925127549430-2303141711-1,2303141711,6D-E,81,,,,
14,-5078598503242403170-2303141633-6,,,,2303141743,RE4,,
15,5847648822533792755-2303141601-7,,,,2303141703,RE3,,
16,3989447555075701153-2303141715-1,2303141715,13,RE4,,,,
17,-9186394645557039679-2303141721-1,2303141721,7A-D,1,,,,
18,8688323680077931945-2303141734-1,2303141734,7A-D,80,,,,
19,6783950932931487138-2303141718-1,2303141718,8,,,,,
20,-3286364162708557051-2303140911-17,,,,2303141714,,,
21,-6545950799724434853-2303141737-1,2303141737,13D-F,RB41,,,,
0,7597922018485472491-2303141738-5,,,,2303141825,80,,
1,8107144397756921140-2303141658-15,,,,2303141826,RB41,,
2,-9085290573223992650-2303141733-6,,,,2303141843,RE4,,
3,3693327742808461148-2303141810-4,,,,2303141853,8,,
4,-5262036583209140989-2303141857-1,2303141857,14,RE3,,,,
5,6815286445548245477-2303141821-1,2303141821,7A-D,1,,,,
6,5917839846370075833-2303141834-1,2303141834,6A-C,80,,,,
7,1980910822671238492-2303141139-10,,,,2303141822,,,
8,-4382352578512903050-2303141701-7,,,,2303141803,RE3,,
9,8763555117838038507-2303141824-1,2303141824,13,,,,,
10,-7571942806704305733-2303141806-1,2303141806,5,8,,,,
11,-8824998166797602196-2303141837-1,2303141837,14D-F,RB41,,,,
12,-4674267576494149068-2303141724-16,,,,2303141855,1,,
13,8381649619319863272-2303141823-1,2303141823,11,,,,,
14,-4829231221989570123-2303141732-10,,,,2303141821,RB31,,
15,-7190502596003603453-2303141806-1,2303141806,11A-C,5,,,,
16,4531931354662597502-2303141811-1,2303141811,6A-C,81,,,,
17,-1302275594339840200-2303141323-7,,,,2303141836,,,
18,5137830702805246513-2303141815-1,2303141815,14,RE4,,,,
19,-1801168499836799587-2303141806-9,,,,2303141850,81,,
20,-6247606335117900026-2303141833-1,2303141833,14A-C,RB31,,,,
21,7813206087545342650-2303141339-18,,,,2303141813,,,
22,9011011619156863439-2303140928-16,,,,2303141814,,,
23,4560172541036709998-2303141318-9,,,,2303141855,,,
0,7617087916692894326-2303141957-1,2303141957,12,RE3,,,,
1,-8626241792514986920-2303141833-6,,,,2303141943,RE4,,
2,-2740244522088099043-2303141906-1,2303141906,5,8,,,,
3,-6747566256988650699-2303141924-1,2303141924,8,,,,,
4,3652573252515177200-2303141758-15,,,,2303141926,RB41,,
5,280172122011711595-2303141910-4,,,,2303141953,8,,
6,3287944090513843782-2303141801-7,,,,2303141903,RE3,,
7,1796880299141298853-2303141921-1,2303141921,7A-D,1,,,,
8,-6660596252710225389-2303141708-19,,,,2303141938,1,,
9,1593134301506217974-2303141934-1,2303141934,6,80,,,,
10,-4196071307122765920-2303141832-10,,,,2303141921,RB31,,
11,1258188596050706601-2303141938-1,2303141938,11,,,,,
12,-1696482145472978640-2303141945-1,2303141945,14,,,,,
13,5432269152027501927-2303141838-5,,,,2303141925,80,,
14,618687571361627304-2303141937-1,2303141937,12C-F,RB41,,,,
15,-667854438862135023-2303141242-14,,,,2303141936,,,
16,6579752722245921932-2303141915-1,2303141915,14,RE4,,,,
17,104881626305769174-2303141911-1,2303141911,6D-E,81,,,,
18,-4082486282805981500-2303141604-5,,,,2303141949,,,
19,-1324827417015454882-2303141245-14,,,,2303141914,,,
20,-421109597482609897-2303141933-1,2303141933,12A-B,RB31,,,,
21,-3084196800500940002-2303141906-9,,,,2303141950,81,,
22,776874307993202871-2303141306-11,,,,2303141936,,,
0,-8977158693366199082-2303141932-10,,,,2303142021,RB31,,
1,5612003499232383454-2303141523-5,,,,2303142030,,,
2,-3784319680478025746-2303142037-1,2303142037,14D-F,RB41,,,,
3,-605356019567509609-2303142006-9,,,,2303142050,81,,
4,7730937257369957723-2303142045-1,2303142045,13,,,,,
5,3049881683039874832-2303141911-13,,,,2303142038,1,,
6,6666277054086433107-2303142041-1,2303142041,8,81,,,,
7,-6452407069337976676-2303141128-17,,,,2303142014,,,
8,2351802209419071159-2303142033-1,2303142033,14A-C,RB31,,,,
9,4946741999316169574-2303142021-1,2303142021,7A-D,1,,,,
10,-7033374564671118827-2303141938-5,,,,2303142025,80,,
11,2782537299653430460-2303141858-15,,,,2303142026,RB41,,
12,6307990677933129471-2303142011-1,2303142011,6D-E,81,,,,
